# convert to csv using
# 1. ANSI encoding for english.
# 2. Use comma as delimiter.
# 3. Treat double quotes as text.
# 4. This file should be in the same place where mama.properties is.
#
# mapping schema
# field_fid: The field FID
# field_acronym: The field name that comes from Bloomberg subscriber
# mama_field_name: The mama mapped field name
# mama_fid: The mama mapped fid (field ID)  should be above specific number if the field is shown but not supported by mama client
# mama_field_type: The mama mapped field type. If empty, then a default Bloomberg to mama type mappings is used
# field_description: The field display name that comes from Bloomberg subscriber
#
"remark","field_fid","field_acronym","mama_field_name","mama_fid","mama_field_type","field_description"
#,,"BEST_ASK8_SZ","wBestAskSize8",170,"MAMA_FIELD_TYPE_I64","Best Ask 8 Size"
#,,"BEST_ASK9_SZ","wBestAskSize9",171,"MAMA_FIELD_TYPE_I64","Best Ask 9 Size"
#,,"BEST_ASK10_SZ","wBestAskSize10",143,"MAMA_FIELD_TYPE_I64","Best Ask 10 Size"
#,,"BEST_BID6","wBestBidPrice6",198,"MAMA_FIELD_TYPE_F64","Best Bid 6"
#,,"BEST_BID7","wBestBidPrice7",199,"MAMA_FIELD_TYPE_F64","Best Bid 7"
#,,"BEST_BID8","wBestBidPrice8",200,"MAMA_FIELD_TYPE_F64","Best Bid 8"
#,,"BEST_BID9","wBestBidPrice9",201,"MAMA_FIELD_TYPE_F64","Best Bid 9"
#,,"BEST_BID10","wBestBidPrice10",173,"MAMA_FIELD_TYPE_F64","Best Bid 10"
#,,"BEST_BID6_SZ","wBestBidSize6",228,"MAMA_FIELD_TYPE_I64","Best Bid 6 Size"
#,,"BEST_BID7_SZ","wBestBidSize7",229,"MAMA_FIELD_TYPE_I64","Best Bid 7 Size"
#,,"BEST_BID8_SZ","wBestBidSize8",230,"MAMA_FIELD_TYPE_I64","Best Bid 8 Size"
#,,"BEST_BID9_SZ","wBestBidSize9",231,"MAMA_FIELD_TYPE_I64","Best Bid 9 Size"
#,,"BEST_BID10_SZ","wBestBidSize10",203,"MAMA_FIELD_TYPE_I64","Best Bid 10 Size"
,30,"BIDSIZE","wBidSize",238,"MAMA_FIELD_TYPE_I64","Bid Size","The number of shares, lots, or contracts willing to buy at the Bid price"
,11,"NETCHNG_1","wNetChange",341,"MAMA_FIELD_TYPE_PRICE","Change in the Instrument Price compared with the ClosePrice, including any potential adjustments, or Settlement Price from the previous trading period, where applicable."
,32,"ACVOL_1","wTradeVolume",488,"MAMA_FIELD_TYPE_U64","Today's total number of shares or contracts traded"
,266,"BID_TIME","wBidTime",1005,"MAMA_FIELD_TYPE_TIME","Time of the latest update to the BID field FID 22.  One second granularity."
,267,"ASK_TIME","wAskTime",1006,"MAMA_FIELD_TYPE_TIME","Time of the latest update to the ASK field FID 25.  One second granularity."
